,0
0,1080° Snowboarding
1,1942
2,3D Ultra Minigolf
3,3-D Ultra Pinball
4,7th Dragon
5,A Boy and His Blob
6,Ace Attorney
7,Ace Combat
8,Adventure Island
9,Adventures of Lolo
10,Aero Fighters
11,Aero the Acro-Bat
12,After Burner
13,Age of Empires
14,Age of Wonders
15,Airforce Delta
16,Aleste
17,Alex Kidd
18,Alien Breed
19,Alien Syndrome
20,Alone in the Dark
21,Alpine Racer
22,Altered Beast
23,Alundra
24,American McGee's Alice
25,America's Army
26,Amnesia
27,Amped
28,Angry Birds
29,Animal Crossing
30,Anno
31,Anomaly
32,Another Century's Episode
33,Another Code
34,Ape Escape
35,Arc the Lad
36,Arkanoid
37,ARMA
38,Armored Core
39,Army Men
40,Army of Two
41,Art Academy
42,Ar Tonelico
43,Asheron's Call
44,Asphalt
45,Assassin's Creed
46,Assault Heroes
47,Asteroids
48,Atelier
49,ATV Offroad Fury
50,Avadon
51,Babylonian Castle Saga
52,Backyard Sports
53,Baldur's Gate
54,Bangai-O
55,Banjo-Kazooie
56,Baraduke
57,Bard's Tale
58,Bases Loaded
59,Batman
60,Battle Arena Toshinden
61,Battlefield
62,Battle Isle
63,Battlestations
64,Battletoads
65,Bayonetta
66,Beatmania
67,Bejeweled
68,Big Brain Academy
69,Bionic Commando
70,BioShock
71,Bit.Trip
72,The Black Mirror
73,Black & White
74,Blaster Master
75,BlazBlue
76,Blinx
77,Blitz: The League
78,BloodRayne
79,Bloody Roar
80,Blue Dragon
81,Bobby Carrot
82,Boktai
83,Boku no Natsuyasumi
84,Bomberman
85,Bomb Jack
86,Bonk
87,Boom Blox
88,Border Break
89,Borderlands
90,Bosconian
91,Boulder Dash
92,BoxBoy!
93,Brain Age
94,Bravely
95,Breakout
96,Breath of Fire
97,Broken Sword
98,Brothers in Arms
99,Bubble Bobble
100,Bubsy
101,Burgertime
102,Burnout
103,Bushido Blade
104,Buster Bros.
105,Bust a Groove
106,Buzz!
107,Cabela's
108,Call of Duty
109,Call of Juarez
110,Candy Crush
111,Cannon Fodder
112,Capcom Vs. SNK
113,Carmageddon
114,Carmen Sandiego
115,Carnival Games
116,Castle Shikigami
117,Castlevania
118,Centipede
119,Championship Manager
120,Chaos Rings
121,Chase H.Q.
122,Chessmaster
123,Chibi-Robo!
124,Chrono
125,City Connection
126,Civilization
127,ClayFighter
128,Clock Tower
129,Colin McRae Rally
130,Colony Wars
131,Columns
132,Combat Mission
133,Command & Conquer
134,Commandos
135,Company of Heroes
136,Condemned
137,The Conduit
138,Conker
139,Contra
140,Cooking Mama
141,Cool Boarders
142,Corpse Party
143,Cotton
144,Counter-Strike
145,Crackdown
146,Crash Bandicoot
147,Crazy Castle
148,Crazy Taxi
149,Creatures
150,Croc
151,Cruis'n
152,Crusader Kings
153,Crush Pinball
154,Crysis
155,Custom Robo
156,Cut the Rope
157,Cyber Sled
158,D
159,Dance Central
160,Dance Dance Revolution
161,Danganronpa
162,Darius
163,Dark Cloud
164,Dark Seed
165,Darksiders
166,Darkstalkers
167,Daytona USA
168,DC Comics
169,de Blob
170,Dead Island
171,Dead or Alive
172,Dead Rising
173,Dead Space
174,Dead to Rights
175,Deathsmiles
176,Deer Hunter
177,Def Jam
178,Defender
179,Densha de Go!
180,Destroy All Humans!
181,Deus Ex
182,Devil Children
183,Devil May Cry
184,Diablo
185,Dies irae
186,Dig Dug
187,Dino Crisis
188,Disaster Report
189,Disgaea
190,Dishonored
191,Dizzy
192,Donkey Kong
193,DonPachi
194,Doom
195,Dota
196,Double Dragon
197,Dragon Age
198,Dragon Ball
199,Dragon Buster
200,Dragon Quest
201,Dragon Slayer
202,Dragon Spirit
203,Dragon's Lair
204,Drakengard
205,Drawn to Life
206,Dream Chronicles
207,Driver
208,Duke Nukem
209,Dungeon Explorer
210,Dungeon Siege
211,Dying Light
212,Dynasty Warriors
213,Earth Defense Force
214,Earthworm Jim
215,Ecco the Dolphin
216,El Dorado Gate
217,The Elder Scrolls
218,Elevator Action
219,Empire Earth
220,Eternal Champions
221,Etrian Odyssey
222,Europa Universalis
223,EverQuest
224,Everybody's Golf
225,eXceed
226,Excite
227,Exerion
228,Exit
229,EyeToy
230,F1 Circus
231,F-Zero
232,Fable
233,Fallout
234,Famicom Grand Prix
235,Famicom Tantei Club
236,Family Stadium
237,Fantasy Zone
238,Far Cry
239,Far East of Eden
240,Fatal Frame
241,Fatal Fury
242,Fat Princess
243,F.E.A.R.
244,FIFA
245,Fighting Vipers
246,Final Fantasy
247,Final Lap
248,Fire Emblem
249,Five Nights at Freddy's
250,Flowers
251,Football Manager
252,Fortune Street
253,Forza
254,Fossil Fighters
255,Frequency
256,Frogger
257,Front Mission
258,G-Police
259,Gal*Gun
260,Galaxian
261,Galaxy Force
262,Game Tengoku
263,Ganbare Goemon
264,Gauntlet
265,Gears of War
266,Gekisha Boy
267,Geneforge
268,Genpei Tōma Den
269,Geometry Wars
270,The Getaway
271,Gex
272,Ghosts 'n Goblins
273,Giana Sisters
274,Glory of Heracles
275,God Eater
276,God of War
277,Golden Axe
278,Golden Sun
279,Golly! Ghost!
280,Gothic
281,Gradius
282,Gran Turismo
283,Grand Theft Auto
284,Grandia
285,Groove Coaster
286,Ground Control
287,Growlanser
288,Guild
289,Guild Wars
290,Guilty Gear
291,Guitar Hero
292,Gunbird
293,Gundam
294,Gunpey
295,Gunslinger Stratos
296,Gunstar Heroes
297,Gunvolt
298,.hack
299,Half-Life
300,Halo
301,Hammerin' Harry
302,Hang-On
303,Hard Drivin'
304,Harry Potter
305,Harvest Moon
306,Hatsune Miku: Project DIVA
307,Hat Trick Hero
308,Hearts of Iron
309,Hebereke
310,Heiankyo Alien
311,Herzog
312,Hexic
313,Hitman
314,Homeworld
315,The House of the Dead
316,Hyperdimension Neptunia
317,Hydlide
318,Hydro Thunder
319,Icewind Dale
320,The Idolmaster
321,Ikari Warriors
322,Illusion
323,Image Fight
324,Imagine
325,Inazuma Eleven
326,Infamous
327,Infinity
328,International Superstar Soccer
329,Iron Soldier
330,Jak and Daxter
331,Jake Hunter
332,James Bond
333,Jazz Jackrabbit
334,J.B. Harold
335,Jetpac
336,Jet Moto
337,Jet Set Radio
338,Joe & Mac
339,Joe Danger
340,The Journeyman Project
341,Just Cause
342,Just Dance
343,Kane & Lynch
344,Katamari
345,Keyboardmania
346,Kid Icarus
347,Kid Niki
348,KiKi KaiKai
349,Killer Instinct
350,Killzone
